tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N293,CESSNA,2007-04-18,T337G,1,Fixed Wing Multi-Engine,Reciprocating
N293AA,MCDONNELL DOUGLAS,1985-10-07,DC-9-82(MD-82),1,Fixed Wing Multi-Engine,Turbo-Fan
N293SW,EMBRAER,1996-09-23,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N294SW,EMBRAER,1996-09-23,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N294WN,BOEING,2007-10-15,737-7H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N29515,EMBRAER,2000-10-31,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N295AT,BOEING,2006-08-25,737-76N,1,Fixed Wing Multi-Engine,Turbo-Fan
N295SW,EMBRAER,1996-11-20,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N295UX,EMBRAER,2005-11-18,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N295WN,BOEING,2007-11-19,737-7H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N296AT,BOEING,2006-10-03,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N296SW,EMBRAER,1996-11-26,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N296WN,BOEING,2007-11-14,737-7H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N29717,BOEING,1999-01-26,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N297AA,MCDONNELL DOUGLAS,1986-03-10,DC-9-82(MD-82),1,Fixed Wing Multi-Engine,Turbo-Fan
N297SW,EMBRAER,2004-03-22,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N297WN,BOEING,2007-11-21,737-7H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N298AA,MCDONNELL DOUGLAS,1986-03-10,DC-9-82(MD-82),1,Fixed Wing Multi-Engine,Turbo-Fan
N298AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N298SW,EMBRAER,2004-03-22,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N298WN,BOEING,2007-12-12,737-7H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N29906,EMBRAER,2002-05-29,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N29917,EMBRAER,2001-04-19,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N299AT,BOEING,2006-10-18,737-76N,1,Fixed Wing Multi-Engine,Turbo-Fan
N299SW,EMBRAER,1997-05-20,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N299WN,BOEING,2007-12-04,737-7H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N300AT,BOEING,2006-12-11,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N300SW,BOEING,1984-12-18,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N301AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N301NB,AIRBUS INDUSTRIE,1999-12-22,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N301SW,BOEING,1985-01-10,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N301UA,BOEING,1986-11-14,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
