tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N332AA,BOEING,1987-04-02,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N332AW,BOEING,2001-06-20,737-3B7,1,Fixed Wing Multi-Engine,Turbo-Fan
N332NB,AIRBUS INDUSTRIE,2001-08-27,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N332NW,AIRBUS INDUSTRIE,1992-06-11,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N332SW,BOEING,2003-05-14,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N332UA,BOEING,2004-07-14,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N333NB,AIRBUS INDUSTRIE,2001-09-24,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N333NW,AIRBUS INDUSTRIE,1992-07-10,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N333SW,BOEING,2004-03-22,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N333UA,BOEING,2004-07-14,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N334AW,BOEING,1998-12-30,737-3Y0,1,Fixed Wing Multi-Engine,Turbo-Fan
N334NB,AIRBUS INDUSTRIE,2002-01-18,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
