DepDelay,ArrDelay,CarrierDelay,WeatherDelay,LateAircraftDelay,NASDelay,SecurityDelay,Delay_ID
3,-6,0,0,0,0,0,0
11,8,0,0,0,0,0,0
3,-2,0,0,0,0,0,0
-2,-10,0,0,0,0,0,0
2,-13,0,0,0,0,0,0
-2,-1,0,0,0,0,0,0
13,5,0,0,0,0,0,0
2,-5,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
-3,-6,0,0,0,0,0,0
-1,-11,0,0,0,0,0,0
-1,-16,0,0,0,0,0,0
1,-4,0,0,0,0,0,0
-5,-7,0,0,0,0,0,0
-2,-7,0,0,0,0,0,0
-3,-11,0,0,0,0,0,0
-3,-5,0,0,0,0,0,0
1,-3,0,0,0,0,0,0
-5,-11,0,0,0,0,0,0
-3,-11,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
22,20,0,0,20,0,0,0
1,-6,0,0,0,0,0,0
-3,-21,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
20,9,0,0,0,0,0,0
9,0,0,0,0,0,0,0
3,-2,0,0,0,0,0,0
-2,-12,0,0,0,0,0,0
-2,-7,0,0,0,0,0,0
-3,-2,0,0,0,0,0,0
30,20,0,0,20,0,0,0
-1,2,0,0,0,0,0,0
6,10,0,0,0,0,0,0
-2,1,0,0,0,0,0,0
49,42,0,0,42,0,0,0
4,-6,0,0,0,0,0,0
-4,-16,0,0,0,0,0,0
36,41,6,0,30,5,0,0
-7,-15,0,0,0,0,0,0
-3,12,0,0,0,0,0,0
-2,-4,0,0,0,0,0,0
0,-1,0,0,0,0,0,0
17,7,0,0,0,0,0,0
-2,-4,0,0,0,0,0,0
-2,-29,0,0,0,0,0,0
-1,-10,0,0,0,0,0,0
-3,-8,0,0,0,0,0,0
-1,-12,0,0,0,0,0,0
1,1,0,0,0,0,0,0
-4,-4,0,0,0,0,0,0
-4,-19,0,0,0,0,0,0
1,-12,0,0,0,0,0,0
1,-5,0,0,0,0,0,0
1,-12,0,0,0,0,0,0
54,44,6,0,38,0,0,0
3,12,0,0,0,0,0,0
104,96,0,0,96,0,0,0
0,-5,0,0,0,0,0,0
-1,-12,0,0,0,0,0,0
25,17,0,0,17,0,0,0
0,-7,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
-1,-10,0,0,0,0,0,0
1,-5,0,0,0,0,0,0
-1,0,0,0,0,0,0,0
25,19,0,0,19,0,0,0
10,-3,0,0,0,0,0,0
0,-2,0,0,0,0,0,0
-2,-11,0,0,0,0,0,0
-3,-10,0,0,0,0,0,0
6,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0
13,7,0,0,0,0,0,0
9,-2,0,0,0,0,0,0
-1,-5,0,0,0,0,0,0
-1,-11,0,0,0,0,0,0
1,-3,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
-2,-15,0,0,0,0,0,0
1,-29,0,0,0,0,0,0
5,-18,0,0,0,0,0,0
-1,-8,0,0,0,0,0,0
-1,-11,0,0,0,0,0,0
-3,-2,0,0,0,0,0,0
-2,-4,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
-3,-17,0,0,0,0,0,0
0,1,0,0,0,0,0,0
2,-8,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
-2,-6,0,0,0,0,0,0
-1,-10,0,0,0,0,0,0
-1,-13,0,0,0,0,0,0
-4,-4,0,0,0,0,0,0
-3,-11,0,0,0,0,0,0
-2,-6,0,0,0,0,0,0
-1,-6,0,0,0,0,0,0
-1,-13,0,0,0,0,0,0
-2,-12,0,0,0,0,0,0
56,47,12,0,35,0,0,0
-1,5,0,0,0,0,0,0
13,11,0,0,0,0,0,0
3,1,0,0,0,0,0,0
-4,-2,0,0,0,0,0,0
37,27,6,0,21,0,0,0
68,62,62,0,0,0,0,0
1,-20,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
